Scode,itercount,acc_test,val,margin,period
DL,1,0.41030928,[0],8,1
DL,2,0.4,[0],8,1
DL,3,0.42474228,[0],8,1
DL,4,0.42680413,[0],8,1
CALX,0,0.40298507,[0],8,1
CALX,1,0.4079602,[0],8,1
CALX,2,0.41791046,[0],8,1
CALX,3,0.40049753,[0],8,1
CALX,4,0.41044775,[0],8,1
ATV,0,0.33759123,[0],8,1
ATV,1,0.3558394,[0],8,1
ATV,2,0.34854016,[0],8,1
ATV,3,0.3448905,[0],8,1
ATV,4,0.33759123,[0],8,1
CPE,0,0.36340535,[0],8,1
CPE,1,0.3545108,[0],8,1
CPE,2,0.35324016,[0],8,1
CPE,3,0.33418044,[0],8,1
CPE,4,0.3570521,[0],8,1
IO,0,0.2935197,[0],8,1
IO,1,0.30622616,[0],8,1
IO,2,0.31257942,[0],8,1
IO,3,0.3151207,[0],8,1
IO,4,0.33799237,[0],8,1
PZN,0,0.34732825,[0],8,1
PZN,1,0.36641222,[0],8,1
PZN,2,0.33778626,[0],8,1
PZN,3,0.33778626,[0],8,1
PZN,4,0.34732825,[0],8,1
NOA,0,0.3385965,[0],8,1
NOA,1,0.34385964,[0],8,1
NOA,2,0.3122807,[0],8,1
NOA,3,0.3385965,[0],8,1
NOA,4,0.3263158,[0],8,1
HBM,0,0.3707317,[0],8,1
HBM,1,0.35609755,[0],8,1
HBM,2,0.36585367,[0],8,1
HBM,3,0.35853657,[0],8,1
HBM,4,0.3512195,[0],8,1
LBRT,0,0.33846155,[0],8,1
LBRT,1,0.33846155,[0],8,1
LBRT,2,0.4043956,[0],8,1
LBRT,3,0.36483517,[0],8,1
LBRT,4,0.35604396,[0],8,1
DDD,0,0.31385008,[0],8,1
DDD,1,0.30749682,[0],8,1
DDD,2,0.317662,[0],8,1
DDD,3,0.32401526,[0],8,1
DDD,4,0.31003812,[0],8,1
TREC,0,0.39726028,[0],8,1
TREC,1,0.39334637,[0],8,1
TREC,2,0.39530334,[0],8,1
TREC,3,0.40313113,[0],8,1
TREC,4,0.39921722,[0],8,1
CDE,0,0.28716645,[0],8,1
CDE,1,0.28335452,[0],8,1
CDE,2,0.27700126,[0],8,1
CDE,3,0.26810673,[0],8,1
CDE,4,0.28716645,[0],8,1
MXL,0,0.4402985,[0],8,1
MXL,1,0.4402985,[0],8,1
MXL,2,0.4402985,[0],8,1
MXL,3,0.44278607,[0],8,1
MXL,4,0.4402985,[0],8,1
CRD.B,0,0.30495554,[0],8,1
CRD.B,1,0.317662,[0],8,1
CRD.B,2,0.30749682,[0],8,1
CRD.B,3,0.31003812,[0],8,1
CRD.B,4,0.3011436,[0],8,1
XIN,0,0.29206964,[0],8,1
XIN,1,0.29980657,[0],8,1
XIN,2,0.33462283,[0],8,1
XIN,3,0.28626692,[0],8,1
XIN,4,0.2843327,[0],8,1
QEP,0,0.41131106,[0],8,1
QEP,1,0.41388175,[0],8,1
QEP,2,0.41388175,[0],8,1
QEP,3,0.42159384,[0],8,1
QEP,4,0.41645244,[0],8,1
ESTE,0,0.45232275,[0],8,1
ESTE,1,0.40831295,[0],8,1
ESTE,2,0.40831295,[0],8,1
ESTE,3,0.42787287,[0],8,1
ESTE,4,0.42787287,[0],8,1
EGHT,0,0.36340535,[0],8,1
EGHT,1,0.3494282,[0],8,1
EGHT,2,0.37484118,[0],8,1
EGHT,3,0.37738246,[0],8,1
EGHT,4,0.36340535,[0],8,1
TECK,0,0.35762712,[0],8,1
TECK,1,0.3677966,[0],8,1
TECK,2,0.35084745,[0],8,1
TECK,3,0.35254237,[0],8,1
TECK,4,0.37118644,[0],8,1
AG,0,0.297561,[0],8,1
AG,1,0.3097561,[0],8,1
AG,2,0.297561,[0],8,1
AG,3,0.2902439,[0],8,1
AG,4,0.29268292,[0],8,1
HTZ,0,0.37478107,[0],8,1
HTZ,1,0.38528895,[0],8,1
HTZ,2,0.3765324,[0],8,1
HTZ,3,0.3765324,[0],8,1
HTZ,4,0.3502627,[0],8,1
AGI,0,0.32682925,[0],8,1
AGI,1,0.3390244,[0],8,1
AGI,2,0.3219512,[0],8,1
AGI,3,0.32682925,[0],8,1
AGI,4,0.33658537,[0],8,1
BXC,0,0.3488024,[0],8,1
BXC,1,0.35778442,[0],8,1
BXC,2,0.35628742,[0],8,1
BXC,3,0.35928145,[0],8,1
BXC,4,0.35329342,[0],8,1
GOL,0,0.29913294,[0],8,1
GOL,1,0.30924857,[0],8,1
GOL,2,0.32225433,[0],8,1
GOL,3,0.31936416,[0],8,1
GOL,4,0.29768786,[0],8,1
FN,0,0.38303342,[0],8,1
FN,1,0.3856041,[0],8,1
FN,2,0.37532133,[0],8,1
FN,3,0.38046274,[0],8,1
FN,4,0.3856041,[0],8,1
LAC,0,0.39756098,[0],8,1
LAC,1,0.3707317,[0],8,1
LAC,2,0.43170732,[0],8,1
LAC,3,0.4,[0],8,1
LAC,4,0.42439026,[0],8,1
JKS,0,0.28101265,[0],8,1
JKS,1,0.2835443,[0],8,1
JKS,2,0.30379745,[0],8,1
JKS,3,0.2987342,[0],8,1
JKS,4,0.3443038,[0],8,1
WTI,0,0.32930514,[1],8,1
WTI,1,0.3308157,[1],8,1
WTI,2,0.3429003,[1],8,1
WTI,3,0.31117824,[1],8,1
WTI,4,0.32175228,[1],8,1
CVI,0,0.35687023,[1],8,1
CVI,1,0.35687023,[1],8,1
CVI,2,0.35305342,[1],8,1
CVI,3,0.35114503,[1],8,1
CVI,4,0.35877863,[1],8,1
HIL,0,0.38305086,[1],8,1
HIL,1,0.38305086,[1],8,1
HIL,2,0.37118644,[1],8,1
HIL,3,0.39322034,[1],8,1
HIL,4,0.3677966,[1],8,1
REN,0,0.36533958,[1],8,1
REN,1,0.40046838,[1],8,1
REN,2,0.37470725,[1],8,1
REN,3,0.3911007,[1],8,1
REN,4,0.35831383,[1],8,1
CLF,0,0.2757306,[1],8,1
CLF,1,0.2909784,[1],8,1
CLF,2,0.3011436,[1],8,1
CLF,3,0.29987293,[1],8,1
CLF,4,0.29860228,[1],8,1
EDN,0,0.3697632,[1],8,1
EDN,1,0.3715847,[1],8,1
EDN,2,0.3752277,[1],8,1
EDN,3,0.3697632,[1],8,1
EDN,4,0.3715847,[1],8,1
LL,0,0.36852208,[1],8,1
LL,1,0.38003838,[1],8,1
LL,2,0.37236086,[1],8,1
LL,3,0.38195777,[1],8,1
LL,4,0.3646833,[1],8,1
UAL,0,0.36988544,[1],8,1
UAL,1,0.3715221,[1],8,1
UAL,2,0.36824876,[1],8,1
UAL,3,0.3617021,[1],8,1
UAL,4,0.3666121,[1],8,1
CRK,0,0.36848792,[1],8,1
CRK,1,0.3786531,[1],8,1
CRK,2,0.38373572,[1],8,1
CRK,3,0.3761118,[1],8,1
CRK,4,0.37484118,[1],8,1
ORN,0,0.3255814,[1],8,1
ORN,1,0.32945737,[1],8,1
ORN,2,0.3275194,[1],8,1
ORN,3,0.32364342,[1],8,1
ORN,4,0.32364342,[1],8,1
BPI,0,0.41333333,[1],8,1
BPI,1,0.40888888,[1],8,1
BPI,2,0.41555557,[1],8,1
BPI,3,0.40888888,[1],8,1
BPI,4,0.40444446,[1],8,1
CLR,0,0.36263737,[1],8,1
CLR,1,0.35897437,[1],8,1
CLR,2,0.37728938,[1],8,1
CLR,3,0.34615386,[1],8,1
CLR,4,0.36446887,[1],8,1
HPR,0,0.33982036,[1],8,1
HPR,1,0.35928145,[1],8,1
HPR,2,0.3488024,[1],8,1
HPR,3,0.35479042,[1],8,1
HPR,4,0.3458084,[1],8,1
PRO,0,0.37037036,[1],8,1
PRO,1,0.37407407,[1],8,1
PRO,2,0.37222221,[1],8,1
PRO,3,0.36481482,[1],8,1
PRO,4,0.36851853,[1],8,1
VG,0,0.38655463,[1],8,1
VG,1,0.41008404,[1],8,1
VG,2,0.40168068,[1],8,1
VG,3,0.41008404,[1],8,1
VG,4,0.394958,[1],8,1
FSM,0,0.2804878,[1],8,1
FSM,1,0.27317074,[1],8,1
FSM,2,0.31707317,[1],8,1
FSM,3,0.28780487,[1],8,1
FSM,4,0.297561,[1],8,1
CAI,0,0.31135532,[1],8,1
CAI,1,0.33333334,[1],8,1
CAI,2,0.32234433,[1],8,1
CAI,3,0.32967034,[1],8,1
CAI,4,0.33150184,[1],8,1
TROX,0,0.4512195,[1],8,1
TROX,1,0.4512195,[1],8,1
TROX,2,0.41463414,[1],8,1
TROX,3,0.46097562,[1],8,1
TROX,4,0.43414634,[1],8,1
OAS,0,0.342711,[1],8,1
OAS,1,0.3478261,[1],8,1
OAS,2,0.32225063,[1],8,1
OAS,3,0.35038364,[1],8,1
OAS,4,0.3529412,[1],8,1
GFA,0,0.3117117,[1],8,1
GFA,1,0.2972973,[1],8,1
GFA,2,0.30810812,[1],8,1
GFA,3,0.3027027,[1],8,1
GFA,4,0.2936937,[1],8,1
BAS,0,0.27669904,[1],8,1
BAS,1,0.24271844,[1],8,1
BAS,2,0.2961165,[1],8,1
BAS,3,0.27184466,[1],8,1
BAS,4,0.24433658,[1],8,1
VRS,0,0.38333333,[1],8,1
VRS,1,0.3690476,[1],8,1
VRS,2,0.39761904,[1],8,1
VRS,3,0.3904762,[1],8,1
VRS,4,0.37619048,[1],8,1
PGTI,0,0.36949152,[1],8,1
PGTI,1,0.37288135,[1],8,1
PGTI,2,0.3677966,[1],8,1
PGTI,3,0.36610168,[1],8,1
PGTI,4,0.36949152,[1],8,1
DL,0,0.37938145,[1],8,1
DL,1,0.3670103,[1],8,1
DL,2,0.40618557,[1],8,1
DL,3,0.37731957,[1],8,1
DL,4,0.39381444,[1],8,1
CALX,0,0.32089552,[1],8,1
CALX,1,0.3159204,[1],8,1
CALX,2,0.3233831,[1],8,1
CALX,3,0.31840795,[1],8,1
CALX,4,0.3233831,[1],8,1
ATV,0,0.3740876,[1],8,1
ATV,1,0.38138688,[1],8,1
ATV,2,0.41240877,[1],8,1
ATV,3,0.39051095,[1],8,1
ATV,4,0.38321167,[1],8,1
CPE,0,0.32401526,[1],8,1
CPE,1,0.32655653,[1],8,1
CPE,2,0.33418044,[1],8,1
CPE,3,0.3227446,[1],8,1
CPE,4,0.3151207,[1],8,1
IO,0,0.28462517,[1],8,1
IO,1,0.28970775,[1],8,1
IO,2,0.29606098,[1],8,1
IO,3,0.23125795,[1],8,1
IO,4,0.29860228,[1],8,1
PZN,0,0.40839696,[1],8,1
PZN,1,0.38931298,[1],8,1
PZN,2,0.38358778,[1],8,1
PZN,3,0.41412213,[1],8,1
PZN,4,0.38931298,[1],8,1
NOA,0,0.35438597,[1],8,1
NOA,1,0.34035087,[1],8,1
NOA,2,0.34736842,[1],8,1
NOA,3,0.34561405,[1],8,1
NOA,4,0.35438597,[1],8,1
HBM,0,0.36341465,[1],8,1
HBM,1,0.36341465,[1],8,1
HBM,2,0.38780487,[1],8,1
HBM,3,0.36097562,[1],8,1
HBM,4,0.35609755,[1],8,1
LBRT,0,0.36923078,[1],8,1
LBRT,1,0.35384616,[1],8,1
LBRT,2,0.34945056,[1],8,1
LBRT,3,0.34065935,[1],8,1
LBRT,4,0.32307693,[1],8,1
DDD,0,0.29224905,[1],8,1
DDD,1,0.28462517,[1],8,1
DDD,2,0.29606098,[1],8,1
DDD,3,0.2884371,[1],8,1
DDD,4,0.29860228,[1],8,1
TREC,0,0.37573385,[1],8,1
TREC,1,0.37573385,[1],8,1
TREC,2,0.38551858,[1],8,1
TREC,3,0.36594912,[1],8,1
TREC,4,0.36594912,[1],8,1
CDE,0,0.28970775,[1],8,1
CDE,1,0.2884371,[1],8,1
CDE,2,0.28081322,[1],8,1
CDE,3,0.25412962,[1],8,1
CDE,4,0.3036849,[1],8,1
MXL,0,0.40298507,[1],8,1
MXL,1,0.40298507,[1],8,1
MXL,2,0.420398,[1],8,1
MXL,3,0.40049753,[1],8,1
MXL,4,0.40298507,[1],8,1
CRD.B,0,0.34053367,[1],8,1
CRD.B,1,0.35069886,[1],8,1
CRD.B,2,0.33926302,[1],8,1
CRD.B,3,0.33799237,[1],8,1
CRD.B,4,0.34180433,[1],8,1
XIN,0,0.3500967,[1],8,1
XIN,1,0.34816247,[1],8,1
XIN,2,0.34622824,[1],8,1
XIN,3,0.34816247,[1],8,1
XIN,4,0.34235978,[1],8,1
QEP,0,0.42416453,[1],8,1
QEP,1,0.41645244,[1],8,1
QEP,2,0.42159384,[1],8,1
QEP,3,0.41388175,[1],8,1
QEP,4,0.41902313,[1],8,1
ESTE,0,0.5110024,[1],8,1
ESTE,1,0.50855744,[1],8,1
ESTE,2,0.46943766,[1],8,1
ESTE,3,0.47921762,[1],8,1
ESTE,4,0.47921762,[1],8,1
EGHT,0,0.35832274,[1],8,1
EGHT,1,0.3545108,[1],8,1
EGHT,2,0.35324016,[1],8,1
EGHT,3,0.364676,[1],8,1
EGHT,4,0.36848792,[1],8,1
TECK,0,0.39322034,[1],8,1
TECK,1,0.37288135,[1],8,1
TECK,2,0.37966102,[1],8,1
TECK,3,0.37966102,[1],8,1
TECK,4,0.3762712,[1],8,1
AG,0,0.33414635,[1],8,1
AG,1,0.28536585,[1],8,1
AG,2,0.34146342,[1],8,1
AG,3,0.30487806,[1],8,1
AG,4,0.31707317,[1],8,1
HTZ,0,0.3625219,[1],8,1
HTZ,1,0.37478107,[1],8,1
HTZ,2,0.35726795,[1],8,1
HTZ,3,0.35901925,[1],8,1
HTZ,4,0.35726795,[1],8,1
AGI,0,0.3097561,[1],8,1
AGI,1,0.30487806,[1],8,1
AGI,2,0.32439023,[1],8,1
AGI,3,0.31707317,[1],8,1
AGI,4,0.297561,[1],8,1
BXC,0,0.33532935,[1],8,1
BXC,1,0.3233533,[1],8,1
BXC,2,0.33982036,[1],8,1
BXC,3,0.3428144,[1],8,1
BXC,4,0.33083832,[1],8,1
GOL,0,0.3251445,[1],8,1
GOL,1,0.32080925,[1],8,1
GOL,2,0.2933526,[1],8,1
GOL,3,0.29913294,[1],8,1
GOL,4,0.31069365,[1],8,1
FN,0,0.40616965,[1],8,1
FN,1,0.40874037,[1],8,1
FN,2,0.40359896,[1],8,1
FN,3,0.40874037,[1],8,1
FN,4,0.40616965,[1],8,1
LAC,0,0.35609755,[1],8,1
LAC,1,0.39268294,[1],8,1
LAC,2,0.4390244,[1],8,1
LAC,3,0.42682928,[1],8,1
LAC,4,0.39756098,[1],8,1
JKS,0,0.31898734,[1],8,1
JKS,1,0.31898734,[1],8,1
JKS,2,0.29620254,[1],8,1
JKS,3,0.29113925,[1],8,1
JKS,4,0.25316456,[1],8,1
WTI,0,0.47885197,[2],8,1
WTI,1,0.47432023,[2],8,1
WTI,2,0.4471299,[2],8,1
WTI,3,0.4244713,[2],8,1
WTI,4,0.41389728,[2],8,1
CVI,0,0.46374047,[2],8,1
CVI,1,0.40648854,[2],8,1
CVI,2,0.41984734,[2],8,1
CVI,3,0.54198474,[2],8,1
CVI,4,0.4942748,[2],8,1
HIL,0,0.45084745,[2],8,1
HIL,1,0.52881354,[2],8,1
HIL,2,0.48474577,[2],8,1
HIL,3,0.42372882,[2],8,1
HIL,4,0.39152542,[2],8,1
REN,0,0.4964871,[2],8,1
REN,1,0.58079624,[2],8,1
REN,2,0.46370023,[2],8,1
REN,3,0.5175644,[2],8,1
REN,4,0.4918033,[2],8,1
CLF,0,0.39771283,[2],8,1
CLF,1,0.38754764,[2],8,1
CLF,2,0.31639135,[2],8,1
CLF,3,0.37992376,[2],8,1
CLF,4,0.33926302,[2],8,1
EDN,0,0.5938069,[2],8,1
EDN,1,0.5919854,[2],8,1
EDN,2,0.58287793,[2],8,1
EDN,3,0.63205826,[2],8,1
EDN,4,0.56102,[2],8,1
LL,0,0.38963532,[2],8,1
LL,1,0.4568138,[2],8,1
LL,2,0.49520153,[2],8,1
LL,3,0.41458732,[2],8,1
LL,4,0.4452975,[2],8,1
UAL,0,0.45499182,[2],8,1
UAL,1,0.31423897,[2],8,1
UAL,2,0.41734862,[2],8,1
UAL,3,0.39116204,[2],8,1
UAL,4,0.46972176,[2],8,1
CRK,0,0.46759847,[2],8,1
CRK,1,0.43964422,[2],8,1
CRK,2,0.42820838,[2],8,1
CRK,3,0.433291,[2],8,1
CRK,4,0.33926302,[2],8,1
ORN,0,0.5426357,[2],8,1
ORN,1,0.45736435,[2],8,1
ORN,2,0.45736435,[2],8,1
ORN,3,0.5426357,[2],8,1
ORN,4,0.44379845,[2],8,1
BPI,0,0.55777776,[2],8,1
BPI,1,0.6311111,[2],8,1
BPI,2,0.58,[2],8,1
BPI,3,0.39333335,[2],8,1
BPI,4,0.57555556,[2],8,1
CLR,0,0.47802198,[2],8,1
CLR,1,0.45054945,[2],8,1
CLR,2,0.41208792,[2],8,1
CLR,3,0.4010989,[2],8,1
CLR,4,0.492674,[2],8,1
HPR,0,0.44161677,[2],8,1
HPR,1,0.43413174,[2],8,1
HPR,2,0.47155687,[2],8,1
HPR,3,0.48952097,[2],8,1
HPR,4,0.44011977,[2],8,1
PRO,0,0.5185185,[2],8,1
PRO,1,0.5703704,[2],8,1
PRO,2,0.53518516,[2],8,1
PRO,3,0.58148146,[2],8,1
PRO,4,0.55,[2],8,1
VG,0,0.53109246,[2],8,1
VG,1,0.49915966,[2],8,1
VG,2,0.5663866,[2],8,1
VG,3,0.3394958,[2],8,1
VG,4,0.4840336,[2],8,1
FSM,0,0.5121951,[2],8,1
FSM,1,0.41951218,[2],8,1
FSM,2,0.54146343,[2],8,1
FSM,3,0.5707317,[2],8,1
FSM,4,0.5609756,[2],8,1
CAI,0,0.5842491,[2],8,1
CAI,1,0.5567766,[2],8,1
CAI,2,0.52380955,[2],8,1
CAI,3,0.55128205,[2],8,1
CAI,4,0.46886447,[2],8,1
TROX,0,0.6390244,[2],8,1
TROX,1,0.66341466,[2],8,1
TROX,2,0.63414633,[2],8,1
TROX,3,0.5902439,[2],8,1
TROX,4,0.62439024,[2],8,1
OAS,0,0.6061381,[2],8,1
OAS,1,0.45012787,[2],8,1
OAS,2,0.4219949,[2],8,1
OAS,3,0.5294118,[2],8,1
OAS,4,0.42455244,[2],8,1
GFA,0,0.5225225,[2],8,1
GFA,1,0.4036036,[2],8,1
GFA,2,0.4918919,[2],8,1
GFA,3,0.5153153,[2],8,1
GFA,4,0.3963964,[2],8,1
BAS,0,0.3462783,[2],8,1
BAS,1,0.29449838,[2],8,1
BAS,2,0.37540454,[2],8,1
BAS,3,0.28478965,[2],8,1
BAS,4,0.28317153,[2],8,1
VRS,0,0.38333333,[2],8,1
VRS,1,0.60952383,[2],8,1
VRS,2,0.27857143,[2],8,1
VRS,3,0.43333334,[2],8,1
VRS,4,0.47619048,[2],8,1
PGTI,0,0.4661017,[2],8,1
PGTI,1,0.35084745,[2],8,1
PGTI,2,0.49491525,[2],8,1
PGTI,3,0.49322033,[2],8,1
PGTI,4,0.4779661,[2],8,1
DL,0,0.6494845,[2],8,1
DL,1,0.6515464,[2],8,1
DL,2,0.5463917,[2],8,1
DL,3,0.66391754,[2],8,1
DL,4,0.6371134,[2],8,1
CALX,0,0.5995025,[2],8,1
CALX,1,0.5323383,[2],8,1
CALX,2,0.56467664,[2],8,1
CALX,3,0.54228854,[2],8,1
CALX,4,0.6442786,[2],8,1
ATV,0,0.42335767,[2],8,1
ATV,1,0.33211678,[2],8,1
ATV,2,0.33029196,[2],8,1
ATV,3,0.33029196,[2],8,1
ATV,4,0.37226278,[2],8,1
CPE,0,0.37357053,[2],8,1
CPE,1,0.33926302,[2],8,1
CPE,2,0.3913596,[2],8,1
CPE,3,0.36975858,[2],8,1
CPE,4,0.33672172,[2],8,1
IO,0,0.44472682,[2],8,1
IO,1,0.42693773,[2],8,1
IO,2,0.42185515,[2],8,1
IO,3,0.43837357,[2],8,1
IO,4,0.40914866,[2],8,1
PZN,0,0.5305343,[2],8,1
PZN,1,0.5553435,[2],8,1
PZN,2,0.58206105,[2],8,1
PZN,3,0.47709924,[2],8,1
PZN,4,0.5038168,[2],8,1
NOA,0,0.5877193,[2],8,1
NOA,1,0.5614035,[2],8,1
NOA,2,0.5929825,[2],8,1
NOA,3,0.57894737,[2],8,1
NOA,4,0.5929825,[2],8,1
HBM,0,0.6707317,[2],8,1
HBM,1,0.5804878,[2],8,1
HBM,2,0.6073171,[2],8,1
HBM,3,0.6536585,[2],8,1
HBM,4,0.62682927,[2],8,1
LBRT,0,0.31428573,[2],8,1
LBRT,1,0.25494507,[2],8,1
LBRT,2,0.35384616,[2],8,1
LBRT,3,0.4021978,[2],8,1
LBRT,4,0.35604396,[2],8,1
DDD,0,0.29860228,[2],8,1
DDD,1,0.3303685,[2],8,1
DDD,2,0.37357053,[2],8,1
DDD,3,0.30876747,[2],8,1
DDD,4,0.41931385,[2],8,1
TREC,0,0.62426615,[2],8,1
TREC,1,0.5812133,[2],8,1
TREC,2,0.5968689,[2],8,1
TREC,3,0.5205479,[2],8,1
TREC,4,0.51663405,[2],8,1
CDE,0,0.33799237,[2],8,1
CDE,1,0.36848792,[2],8,1
CDE,2,0.27191868,[2],8,1
CDE,3,0.3151207,[2],8,1
CDE,4,0.41041932,[2],8,1
MXL,0,0.4402985,[2],8,1
MXL,1,0.5870647,[2],8,1
MXL,2,0.58457714,[2],8,1
MXL,3,0.4477612,[2],8,1
MXL,4,0.42537314,[2],8,1
CRD.B,0,0.40914866,[2],8,1
CRD.B,1,0.433291,[2],8,1
CRD.B,2,0.3888183,[2],8,1
CRD.B,3,0.3494282,[2],8,1
CRD.B,4,0.39263025,[2],8,1
XIN,0,0.41779497,[2],8,1
XIN,1,0.50870407,[2],8,1
XIN,2,0.60348165,[2],8,1
XIN,3,0.6073501,[2],8,1
XIN,4,0.5261122,[2],8,1
QEP,0,0.5655527,[2],8,1
QEP,1,0.58354753,[2],8,1
QEP,2,0.5347044,[2],8,1
QEP,3,0.5115681,[2],8,1
QEP,4,0.4395887,[2],8,1
ESTE,0,0.56479216,[2],8,1
ESTE,1,0.5623472,[2],8,1
ESTE,2,0.596577,[2],8,1
ESTE,3,0.44498777,[2],8,1
ESTE,4,0.49633253,[2],8,1
EGHT,0,0.25412962,[2],8,1
EGHT,1,0.37102923,[2],8,1
EGHT,2,0.35069886,[2],8,1
EGHT,3,0.39898348,[2],8,1
EGHT,4,0.3913596,[2],8,1
TECK,0,0.4423729,[2],8,1
TECK,1,0.44576272,[2],8,1
TECK,2,0.42881355,[2],8,1
TECK,3,0.35762712,[2],8,1
TECK,4,0.47457626,[2],8,1
AG,0,0.5121951,[2],8,1
AG,1,0.5512195,[2],8,1
AG,2,0.5,[2],8,1
AG,3,0.4804878,[2],8,1
AG,4,0.5,[2],8,1
HTZ,0,0.4676007,[2],8,1
HTZ,1,0.30472854,[2],8,1
HTZ,2,0.441331,[2],8,1
HTZ,3,0.42031524,[2],8,1
HTZ,4,0.42031524,[2],8,1
AGI,0,0.51707315,[2],8,1
AGI,1,0.3219512,[2],8,1
AGI,2,0.5195122,[2],8,1
AGI,3,0.5121951,[2],8,1
AGI,4,0.54146343,[2],8,1
BXC,0,0.39371258,[2],8,1
BXC,1,0.33532935,[2],8,1
BXC,2,0.39670658,[2],8,1
BXC,3,0.39670658,[2],8,1
BXC,4,0.34131736,[2],8,1
GOL,0,0.42052025,[2],8,1
GOL,1,0.3800578,[2],8,1
GOL,2,0.5,[2],8,1
GOL,3,0.5563584,[2],8,1
GOL,4,0.31936416,[2],8,1
FN,0,0.69922876,[2],8,1
